quizId,title,learningMaterialId,quizKey
6706701a98ac07710c36b227,Triduana exercitationem quia.,6706701a98ac07710c36b0de,1
6706701a98ac07710c36b228,Vero victoria absorbeo confido clibanus vero trado baiulus animus.,6706701a98ac07710c36b0b7,2
6706701a98ac07710c36b229,Subseco confugo assumenda audax uxor tam cauda voluptatibus caterva.,6706701a98ac07710c36b063,3
6706701a98ac07710c36b22a,Cumque repellendus comparo currus caute addo depono adopto.,6706701a98ac07710c36b020,4
6706701a98ac07710c36b22b,Defetiscor comedo decor adsidue decumbo supra vitae decipio vespillo.,6706701a98ac07710c36b076,5
6706701a98ac07710c36b22c,Aveho cruentus ara.,6706701a98ac07710c36b024,6
6706701a98ac07710c36b22d,Territo suffragium tres amiculum patria.,6706701a98ac07710c36b035,7
6706701a98ac07710c36b22e,Auctus deleo creator accusantium solium charisma rerum volutabrum sit aureus.,6706701a98ac07710c36b0c3,8
6706701a98ac07710c36b22f,Aveho texo crudelis optio vesica earum subito quos cupiditate theologus.,6706701a98ac07710c36b032,9
6706701a98ac07710c36b230,Damno arbitro verbera explicabo.,6706701a98ac07710c36b0a8,10
6706701a98ac07710c36b231,Aptus subito vigilo praesentium aeternus vir.,6706701a98ac07710c36afeb,11
6706701a98ac07710c36b232,Vere corporis caute thesaurus suggero cibo verecundia dedico amor architecto.,6706701a98ac07710c36b0dd,12
6706701a98ac07710c36b233,Curtus tantillus spero adamo umquam vicissitudo calco adulatio.,6706701a98ac07710c36afe4,13
6706701a98ac07710c36b234,Contra triduana cometes doloribus tremo.,6706701a98ac07710c36b0a6,14
6706701a98ac07710c36b235,Demulceo iste vinitor inflammatio officiis astrum annus sollicito.,6706701a98ac07710c36b053,15
6706701a98ac07710c36b236,Ocer currus currus vitae brevis ipsam facilis thesaurus itaque venia.,6706701a98ac07710c36b0f0,16
6706701a98ac07710c36b237,Cuppedia culpa contego.,6706701a98ac07710c36b063,17
6706701a98ac07710c36b238,Catena adsidue amaritudo certus adeo constans sordeo animi vergo ulterius.,6706701a98ac07710c36b03e,18
6706701a98ac07710c36b239,Candidus pax audax veritas amo abduco hic optio.,6706701a98ac07710c36b025,19
6706701a98ac07710c36b23a,Summa vindico debitis deficio causa teneo adipisci similique.,6706701a98ac07710c36b01c,20
6706701a98ac07710c36b23b,Corroboro cunae amicitia valde.,6706701a98ac07710c36b094,21
6706701a98ac07710c36b23c,Eius stabilis absens cariosus repellendus coaegresco demum arbitro deinde.,6706701a98ac07710c36b03c,22
6706701a98ac07710c36b23d,Theatrum voco argentum trado adeptio articulus canis.,6706701a98ac07710c36b0ec,23
6706701a98ac07710c36b23e,Arto appositus surgo carpo at.,6706701a98ac07710c36afe2,24
6706701a98ac07710c36b23f,Patruus crux iste trans spiculum tempus subito tepidus.,6706701a98ac07710c36b0d0,25
