feedbackKey,userKey,learningMaterialKey,feedback,rating
1,22.0,274,Pauper audeo cernuus.,3
2,,230,Iste accommodo commemoro maxime confugo villa deficio.,4
3,110.0,21,Copiose curia subvenio suus bibo coma titulus coaegresco.,4
4,185.0,97,Accusamus amplitudo thermae contabesco amissio pel demens.,1
5,136.0,217,Ulciscor comprehendo voluptatum succedo accusamus sed ara.,3
6,,119,Termes cultura virgo est abeo valetudo abeo copiose territo.,1
7,131.0,14,Tergiversatio apparatus depopulo auxilium denique tametsi tenax.,1
8,114.0,112,Tricesimus amo deporto basium triumphus.,2
9,153.0,72,Bis vespillo clarus eaque ascisco voluptatem at.,1
10,,185,Tamisium cito sortitus laudantium acer dolor vesica cresco titulus.,5
11,26.0,10,Angulus solium dolorem stabilis atqui utilis.,3
12,189.0,222,Defero aegrus deripio defungo auctor tego patria confido certe.,1
13,123.0,34,Quos comptus caveo acidus eius nisi comis.,4
14,102.0,171,Desparatus vehemens odit conqueror solum video patruus.,4
15,,272,Aspernatur amitto suppono talis thesis amplitudo animi.,4
16,133.0,238,Veniam desolo sodalitas annus.,3
17,129.0,2,Perferendis textor ultra creptio.,5
18,55.0,13,Alius corrupti vereor nulla.,3
19,9.0,106,Libero correptius sit tenus.,4
20,9.0,39,Socius tamdiu voluptatibus utor ipsa acervus congregatio vetus turpis.,5
21,6.0,131,Argumentum tepidus ullus arguo.,1
22,83.0,78,Defendo custodia tui.,4
23,,182,Cras aeneus astrum conscendo venio triumphus somnus apto.,5
24,,268,Tandem crux ut vesper agnitio dens adeptio arbor blandior.,1
25,25.0,28,Celebrer illo speculum viridis decretum amicitia surgo excepturi autus.,5
26,,110,Statua absorbeo expedita solitudo ventosus ut tertius.,5
27,,73,Timor totam vestigium aegrus aggredior absorbeo aqua umbra veritatis sophismata.,1
28,98.0,21,Vespillo arcesso calco cariosus.,4
29,187.0,112,Tabernus adficio sonitus depereo theca aduro cometes aequitas sponte.,5
30,,234,Abundans cavus patria sui tego verus tot tantum tonsor.,5
31,57.0,90,Vitae viriliter curtus auctor.,1
32,51.0,61,Optio collum celer suscipit conculco aurum communis termes.,5
33,121.0,104,Vulticulus annus communis.,2
34,4.0,265,Ventito uredo carmen.,4
35,60.0,249,Mollitia doloribus curia colo vita neque.,4
36,188.0,277,Deleniti deserunt paens subseco.,3
37,,100,Fuga delectatio summisse quos vestrum creber quam comitatus.,3
38,95.0,139,Vigor cupressus atavus tardus tendo denique torqueo dedico triduana civitas.,5
39,,113,Spiritus agnosco crustulum asporto somniculosus baiulus territo surgo calco.,3
40,186.0,249,Demum sublime acer corrumpo umerus umerus cumque.,4
41,,154,Officia taceo complectus annus.,2
42,2.0,153,Quasi supellex asperiores valens acsi.,4
43,,7,Adnuo apud cito deprecator.,2
44,11.0,79,Accusator saepe textus hic decumbo amaritudo argumentum.,5
